,description,kappas,method,outcome,road,visited,accum_neg_oob,avg_brake,avg_brake_input,avg_oob_counter,avg_oob_distance,avg_steering,avg_steering_input,avg_throttle,avg_throttle_input,avg_vel_kmh,avg_wheelspeed,max_brake,max_brake_input,max_oob_counter,max_oob_distance,max_oob_percentage,max_steering,max_steering_input,max_throttle,max_throttle_input,max_vel_kmh,max_wheelspeed,mean_brake,mean_brake_input,mean_oob_counter,mean_oob_distance,mean_steering,mean_steering_input,mean_throttle,mean_throttle_input,mean_vel_kmh,mean_wheelspeed,min_brake,min_brake_input,min_oob_counter,min_oob_distance,min_steering,min_steering_input,min_throttle,min_throttle_input,min_vel_kmh,min_wheelspeed,simulation_file,generation,parent_index,parent_min_oob_distance,parent_outcome
0,The road is too sharp,"[0.0010204081632653045, 0.006122448979591841, 0.03367346938775512, 0.02419408579758435, 0.02111943152937977, -0.008700860619473241, 0.03925832305399615, 0.04857873876942755, 0.01023935284788836, 0.05411690386829654, 0.06865544701772035, 0.04170810345874387, 0.05561985573732031, 0.035839107125925064, 0.03221347666878268, 0.012670025579613182, 0.021853699049000933, 0.05798208559783685, 0.034561191770192484]",random,INVALID,"[(73.59880717189151, 10.0), (73.60677043899884, 19.99999682931835), (73.25766180248797, 29.993901129436175), (70.9399548371747, 39.72160560803432), (65.943102727281, 48.38367631842746), (59.128157320740186, 55.70190828426923), (51.8722273103359, 62.5831494284317), (43.65354315477164, 68.279923142656), (33.79254461415785, 69.94146091893813), (23.873287256393418, 68.67326003956761), (14.86422716774456, 64.3331176088271), (10.0, 55.59588154353873), (10.438129548828691, 45.60548402900292), (15.4974898210735, 36.97977399239545), (23.845446768095144, 31.47417549534964), (33.55220053793445, 29.0702347199331), (43.55051618316794, 28.886702002742915), (53.43176455924542, 30.423233984273438), (61.93896188070855, 35.67942973155023)]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1,Car drove out of the lane beamng_executor/sim_2021-01-21--23-54-51,"[0.031632653061224494, 0.048359017076218244, 0.0349105389761069, 0.010958333167094585, 0.018101190309951734, 0.021162414799747654, 0.04781197066933109, 0.05379452402780903, 0.06864886783730223, 0.03856053132896055, -0.008115408725282741, -0.017299082194670495, -0.03260520464365009, -0.0682164327478296, -0.04675023511127044, -0.0625255341950276, -0.016044379040229984, -0.03135050148920958, -0.06276330624401712]",random,FAIL,"[(100.62614592705619, 43.062133579287085), (100.63410919416351, 53.062130408605434), (96.74764540849607, 62.27600034705667), (89.466893782772, 69.13097341516689), (80.81838044454318, 74.15125398884783), (71.53412676525609, 77.86644356929243), (61.703527643262476, 79.69928859892758), (51.83212521262553, 78.10072234993598), (43.985085328382254, 71.90201562553813), (41.125548841383704, 62.319581118612234), (43.561253646444854, 52.620749121789004), (47.43950724792674, 43.40342038713965), (50.11837211514958, 33.768915572508064), (50.335127482859676, 23.771264992968447), (45.6957869676621, 14.912567595266772), (36.98563888499814, 10.0), (26.991032965141855, 10.328409054037461), (17.883519154502583, 14.457960142111673), (10.0, 20.610205727309882)]",False,-2.120276675622037,0.008468447412817062,0.008530715408499541,0.0072992700729927005,1.5720015544228407,83.98806772433284,-0.16555594945015492,0.22267028047663767,0.24686226987108562,21.065693430656935,5.909468411903878,0.4834633664307778,0.4834633664307778,1.0,1.9890220430404555,0.9860994481258214,202.5544717865842,0.32056400959147235,0.8858543218647551,0.8858543218647551,42.0,11.755806334108188,0.008468447412817062,0.008530715408499541,0.0072992700729927005,1.5720015544228407,83.98806772433284,-0.16555594945015492,0.22267028047663767,0.24686226987108562,21.065693430656935,5.909468411903878,0.0,0.0,0.0,-1.9430783051977958,-163.27114690611248,-0.3977344988868913,0.0,0.0,0.0,0.0,sim_2021-01-21--23-54-51,0.0,,,
2,Successful test,"[-0.0030612244897959134, 6.938893903907228e-18, 0.02551020408163266, 0.0680716368179925, 0.05516332480514072, 0.04485924839383008, 0.017861519293678012, -0.03009766437979138, -0.0498178430240348, -0.0556771108212316, -0.030618639278305056, -0.02986959314536146, -0.035051474893099344, -0.05786449641329991, -0.016740996925685633, -0.03408793570119584, -0.01740077695991582, -0.06535996063338521, -0.019820372010251726]",random,PASS,"[(80.91052464759363, 10.0), (80.91848791470096, 19.99999682931835), (81.07950544858677, 29.998700412972646), (79.96732543560067, 39.93666074790628), (74.4924591641933, 48.30480506491027), (65.18834928690926, 51.969984377225764), (55.26618462202313, 50.72473405585051), (46.2120893714181, 46.47934135399459), (36.915359742648604, 42.7954822077243), (26.91784727178285, 43.01851672273005), (18.391452712715004, 48.24351393068129), (12.83168612895906, 56.55549296904218), (10.0, 66.14619438588656), (10.375002015030553, 76.1391605866061), (15.187578336311606, 84.90495257317781), (22.863758911090567, 91.31402830867869), (31.904725245388246, 95.58730898540658), (41.73575433516294, 97.41784634804188), (51.47307466817885, 95.14087627089224)]",False,-1.0967306229436224,0.011817902472161221,0.011938493313713888,0.0,1.0949034193712128,-23.465753570789637,0.0464686240437307,0.1308003162561795,0.1509441260040787,32.85858585858586,9.292517662206933,0.3467404502697615,0.3467404502697615,0.0,1.9928419947202913,0.0,145.00667628778064,0.2996462750402964,0.7939280955732811,0.7939280955732811,42.0,11.965016713383632,0.011817902472161221,0.011938493313713888,0.0,1.0949034193712128,-23.465753570789637,0.0464686240437307,0.1308003162561795,0.1509441260040787,32.85858585858586,9.292517662206933,0.0,0.0,0.0,-0.06197616582424459,-153.20482641178154,-0.2858844437752501,0.0,0.0,0.0,0.0,sim_2021-01-21--23-55-38,0.0,,,
3,The road is too sharp,"[0.047959183673469394, 0.014131611828404837, 0.023315285297792587, -0.0010336679444789137, -0.03266632100570341, -0.07, -0.06285714285714286, -0.05367346938775511, -0.011795085381091211, -0.037305289462723865, -0.04974823415413646, -0.0370246813376559, 0.0011217017105806665, 0.01846864048609087, 0.06438700783302966, 0.035951229285528366, 0.06142359482505391, 0.024573400068409156, 0.042735257162402625]",random,INVALID,"[(27.77864254377502, 10.0), (27.78660581088235, 19.99999682931835), (24.73927993232553, 29.524376336135468), (19.97232172525507, 38.315059441107664), (14.257587580871501, 46.5212652427566), (10.0, 55.56963238778386), (10.734650823627902, 65.54261028645298), (17.461393420552383, 72.94199769587559), (27.149710029483487, 75.41919798755765), (37.12006694200777, 74.64979364855293), (46.60446891078402, 71.48023227595372), (53.86806367609876, 64.6070822641111), (57.569333508183064, 55.31727055288129), (59.55240836979067, 45.51587197445076), (62.48450676118503, 35.955390866097346), (69.01694449009713, 28.383914304825716), (78.38558452411294, 24.886975084159104), (88.30168276287972, 26.179645080378798), (96.77627981918798, 31.488242327600645)]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
4,Successful test,"[0.023469387755102045, 0.06605997501041233, 0.05018529694260045, 0.0400794129754002, 0.042272449399628646, -0.0077275506003713565, 0.017782653481261297, 0.014721428991465384, 0.01370102082820008, 0.043292857562893965, 0.060607288681170705, 0.05424275005826978, 0.031082443912037218, 0.01918996794973555, 0.0610267026436131, 0.03269036289697972, 0.05218170671366933, 0.06307976599119075, 0.050252163711229446]",random,PASS,"[(78.15937594395382, 45.92980701628658), (78.16733921106115, 55.92980384560493), (73.84606509435321, 64.94792948280195), (65.2829918051419, 70.1125955749705), (55.32472882028622, 71.02528299378008), (45.83351834273656, 67.87616824978433), (37.02476413994528, 63.142686508528), (28.465018205194596, 57.97250764000526), (20.854632998778293, 51.48544073654575), (14.239759528154416, 43.98587748475325), (10.0, 34.929143021193894), (10.815790888270996, 24.962474308599198), (16.914677111672027, 17.037602900556724), (25.746226655780568, 12.346789255787172), (35.466956061999106, 10.0), (45.332458492334446, 11.634583065202737), (53.39632163838757, 17.548474437364227), (58.30996506780341, 26.25801565654211), (57.68385676837509, 36.23839582953086)]",False,-1.8750614847510354,0.019016232112621816,0.01918016514807545,0.0,1.275632843239944,103.56153495726835,-0.2046974029580798,0.1324850008305654,0.17264543726511922,31.213675213675213,8.67775723985768,0.8123928520088146,0.8123928520088146,0.0,1.9751755197280716,0.0,270.4305048966247,-0.05266105446038159,0.7885336360771571,0.8385396666242899,51.0,14.24428869987535,0.019016232112621816,0.01918016514807545,0.0,1.275632843239944,103.56153495726835,-0.2046974029580798,0.1324850008305654,0.17264543726511922,31.213675213675213,8.67775723985768,0.0,0.0,0.0,-0.17488235632790916,0.0,-0.5390787055808839,0.0,0.0,0.0,0.0,sim_2021-01-21--23-56-20,0.0,,,
5,Successful test,"[0.027551020408163276, 0.06056643065389422, 0.038463820346964286, 0.040047934005007294, -0.00995206599499271, 0.025762219719293003, 0.031535599885425716, 0.060973020396472025, 0.029042503948572426, -0.015388669762564663, -0.06334785343603405, -0.017972518461663922, -0.04144190621676597, -0.036332245521471136, 0.011960249285089486, 0.03747045336672214, 0.026208811990505627, 0.05468715297804174, 0.02734671214892522]",random,PASS,"[(148.26932409442855, 24.244051713017143), (148.27728736153588, 34.24404854233549), (144.01978438168737, 43.29245549475431), (135.97413693892895, 49.23110493943739), (126.2686431019207, 51.64012743410093), (116.31168626634671, 52.56695566765689), (106.31263366369276, 52.70460394900941), (96.68222576815745, 50.011047978621704), (89.26570854089076, 43.30319644346857), (85.50593057361101, 34.0369097202575), (82.38702119874671, 24.53573061914675), (75.86212447948714, 16.95775445113226), (66.87218443804157, 12.578145101976377), (56.99401769605417, 11.021924739208277), (47.26334548015036, 13.327140179603749), (37.8850522084354, 16.798107668605315), (27.94258497194785, 17.869249699977246), (18.16452499751485, 15.774126043390048), (10.0, 10.0)]",False,-2.0047899616419436,0.01466782726953253,0.014804909767378627,0.0,1.3151164818716399,49.02503235044579,-0.09700188603496766,0.11368720589704263,0.12912831486252535,31.953703703703702,8.956556524269812,0.4285500249658684,0.4285500249658684,0.0,1.9866697192107927,0.0,142.28571789305937,0.22218153822657394,0.6736056152376729,0.6736056152376729,45.0,12.512196340782854,0.01466782726953253,0.014804909767378627,0.0,1.3151164818716399,49.02503235044579,-0.09700188603496766,0.11368720589704263,0.12912831486252535,31.953703703703702,8.956556524269812,0.0,0.0,0.0,-0.35786875295658005,-113.5945589997358,-0.27318639930675165,0.0,0.0,0.0,0.0,sim_2021-01-21--23-57-07,0.0,,,
6,Successful test,"[-0.04183673469387755, -0.03490628904623074, -0.06131696827002355, -0.01970025851716304, 0.003769129237938998, 0.047646680258347174, 0.0389914343964345, 0.050161167607290086, 0.014413990544577822, 0.013393582381312517, 0.04502623544253701, 0.04807996409160807, -0.0294710563165552, 0.014986355294662468, 0.03233329407017267, -0.010510240139637344, -0.017653097282494493, -0.014591872792698572, -0.04010207687433122]",random,PASS,"[(23.4740620827979, 10.0), (23.48202534990523, 19.99999682931835), (27.233088353866734, 29.269814860990344), (34.848111212442944, 35.75143710109056), (44.401232382944755, 38.70742693559779), (54.15927455195427, 40.893888238212654), (63.04071358956759, 45.489542774963475), (69.17267121501311, 53.38885259796322), (71.29966651953006, 63.16002913789754), (70.21640727961054, 73.10118346821194), (67.76585386799906, 82.79627438974741), (62.627274373783166, 91.37502725841217), (55.1340148992775, 97.99704073225314), (48.08754959145473, 105.09262574447378), (41.57299415905426, 112.67949384126982), (33.46158883218058, 118.52800678245113), (24.76152690741671, 123.45841472756825), (16.83957223564464, 129.561089073983), (10.0, 136.85631022439367)]",True,-5.0757563899935825,0.03173110993274657,0.03204842103207404,0.0,1.096774771793242,-20.914492264029747,0.041155875080331084,0.1800695534553376,0.2204787287872444,34.0,9.539887348868286,0.4457542862161769,0.4457542862161769,0.0,1.9745110927840048,0.0,140.49702627831036,0.5779823828520945,0.991743072158447,0.991743072158447,61.0,17.07377153001565,0.03173110993274657,0.03204842103207404,0.0,1.096774771793242,-20.914492264029747,0.041155875080331084,0.1800695534553376,0.2204787287872444,34.0,9.539887348868286,0.0,0.0,0.0,-0.9579728210291445,-296.6350676889699,-0.2764754871306228,0.0,0.0,0.0,0.0,sim_2021-01-21--23-57-52,0.0,,,
7,The road is too sharp,"[-0.04183673469387755, -0.05723865056226573, -0.07, -0.029183673469387758, -0.03107871720116618, -0.06637055988576189, -0.051393867715468416, -0.011194743756115781, -0.02446004987856476, -0.02515471728993856, -0.05451505588407161, -0.01787933019344476, -0.027063003662832513, -0.037756552291186796, -0.034752808124794345, -0.005629671441171241, -0.041343957155456953, 0.0006299160236713092, 0.0016503241869366136]",random,INVALID,"[(37.58840096729767, 43.33967216290118), (37.596364234405, 53.33966899221953), (42.357001735239436, 62.133776711917356), (51.41119522396248, 66.37895989627646), (61.394675109678616, 65.80439103921816), (70.75786214276195, 62.29287732238608), (77.38734093284697, 54.80622179593018), (78.74243212628167, 44.898460804794205), (76.98150463843905, 35.05472501076965), (73.50288456413142, 25.679267561736882), (67.82873118242256, 17.44495014006544), (59.40478141185085, 12.056344544655367), (49.61849268150644, 10.0), (39.620041388124164, 10.175987879873464), (30.198169176945697, 13.526857026262668), (22.5771585030418, 20.001437808695062), (16.40940322656327, 27.872828718151364), (12.242772228946592, 36.96343849581204), (10.0, 46.70869235238581)]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
8,Successful test,"[-0.04183673469387755, -0.030120783007080383, 0.010707868320172717, -0.01684315208799055, -0.06276151943492933, -0.0186021807170794, -0.05227565010483451, -0.04512166738544941, -0.03790928602233547, -0.013039096423661349, 0.004307842351848862, -0.02936562703590624, -0.044104464867401785, -0.026631122781372453, -0.012835381294717833, 0.00859319013385361, 0.001450332990996464, 0.03512380237875157, -0.002751026532498658]",random,PASS,"[(10.0, 55.94995970810326), (10.007963267107328, 65.9499565374216), (13.536169843738463, 75.30686619566973), (17.954567883102698, 84.27780587698194), (22.646040278107577, 93.10900549916846), (30.393721534522953, 99.43146033483077), (40.01079975323873, 102.17222784323101), (49.981354039641474, 101.40538547227354), (58.433946550146544, 96.06182113268204), (64.01329625180159, 87.7629744112007), (67.3213178742086, 78.32597314248785), (70.21433424126286, 68.75359327643802), (71.88849603770831, 58.89473014323029), (69.91021060324582, 49.09236375853555), (64.65931687586462, 40.58189285125029), (57.841812467782205, 33.266044735975), (50.8706771200942, 26.09643721783184), (44.26821914900293, 18.585941312768497), (39.14165970102076, 10.0)]",False,0.0,0.020946310871477965,0.021166798354335624,0.0,1.272819000733805,-78.14958929567872,0.15446894121555046,0.15046208776080355,0.17027585776949444,33.552083333333336,9.523580692311642,0.429971732712921,0.429971732712921,0.0,1.9962150028151981,0.0,24.40566559635604,0.4218570355942893,0.7113195432649663,0.7113195432649663,52.0,14.44261680522458,0.020946310871477965,0.021166798354335624,0.0,1.272819000733805,-78.14958929567872,0.15446894121555046,0.15046208776080355,0.17027585776949444,33.552083333333336,9.523580692311642,0.0,0.0,0.0,0.025083019281801677,-211.26269959089842,-0.04795398503954487,0.0,0.0,0.0,0.0,sim_2021-01-21--23-58-35,0.0,,,
9,Successful test,"[-0.025510204081632654, 0.0052061640982923735, -0.04479383590170763, -0.05158216389429575, -0.054640893935454155, -0.029984220776808672, 0.016341665785510065, -0.029576701561428713, -0.06446387968743442, -0.02466439158157912, -0.023305008121589768, -0.004878883020662486, 0.020631321060970167, 0.01727376219561682, -0.03272623780438318, -0.06643780562466871, -0.04813787984680356, -0.03040250522170808, 0.015940454175096333]",random,PASS,"[(10.0, 61.96456278738886), (10.007963267107328, 71.9645596167072), (11.029344271553555, 81.91226190636971), (13.986981258517275, 91.46487324847632), (21.03493659661548, 98.55897823446102), (30.705115640279445, 101.10606230521375), (40.568345826072715, 99.45782375996109), (50.29629443310776, 97.14114167152405), (59.84975573434278, 94.18625129017232), (67.02767694239003, 87.22367654148451), (70.50343703827738, 77.84715843742066), (71.65227172882689, 67.91336868457256), (71.3944826449337, 57.91669199738168), (71.92403908340262, 47.93072334239001), (74.32539805420507, 38.223330536216636), (75.97032288858736, 28.359547170325413), (72.72443681453771, 18.900994236906335), (64.86973677212148, 12.711996964030334), (55.24450573764287, 10.0)]",False,-2.1739180023375515,0.02811522148882619,0.028417535698383463,0.0,1.0957306007936338,-70.86348358633997,0.14051223010047525,0.13081500291258327,0.14719784633147076,33.691489361702125,9.565191259054128,0.901087368952304,0.901087368952304,0.0,1.9995351265906935,0.0,39.054180562358226,0.3384632075407029,0.6419006001185019,0.6419006001185019,51.0,14.485470424518251,0.02811522148882619,0.028417535698383463,0.0,1.0957306007936338,-70.86348358633997,0.14051223010047525,0.13081500291258327,0.14719784633147076,33.691489361702125,9.565191259054128,0.0,0.0,0.0,-0.08355130709644687,-171.9899697152796,-0.07807283227460676,0.0,0.0,0.0,0.0,sim_2021-01-21--23-59-15,0.0,,,
