,description,kappas,method,outcome,road,accum_neg_oob,avg_brake,avg_brake_input,avg_oob_counter,avg_oob_distance,avg_steering,avg_steering_input,avg_throttle,avg_throttle_input,avg_vel_kmh,avg_wheelspeed,max_brake,max_brake_input,max_oob_counter,max_oob_distance,max_oob_percentage,max_steering,max_steering_input,max_throttle,max_throttle_input,max_vel_kmh,max_wheelspeed,mean_brake,mean_brake_input,mean_oob_counter,mean_oob_distance,mean_steering,mean_steering_input,mean_throttle,mean_throttle_input,mean_vel_kmh,mean_wheelspeed,min_brake,min_brake_input,min_oob_counter,min_oob_distance,min_steering,min_steering_input,min_throttle,min_throttle_input,min_vel_kmh,min_wheelspeed,parent_index,parent_min_oob_distance,parent_outcome
0,The road is self-intersecting,"[0.039795918367346944, 0.05854227405247814, 0.036135538763610406, 0.004962254551371333, -0.016466316877200092, 0.025370417816677468, 0.04875662440782556, 0.04092107118686758, 0.07, 0.025102040816326533, 0.05644314868804664, 0.058326292616171845, 0.06874135291053413, 0.04698591355166839, 0.0029462471392872943, -0.030727222248467807, -0.009877517024478324, 0.01359187073062372, 0.04930615644490943]",random,INVALID,"[(76.52397880046155, 11.889348277728839), (76.53194206756888, 21.889345107047188), (71.81779140903589, 30.708459777389844), (63.601383090089406, 36.40851542065745), (54.39476429823359, 40.312125342441064), (45.42778481680869, 44.73855493972425), (36.27268869620184, 48.761515916722345), (26.2820999237178, 49.19526236237452), (17.091076824137694, 45.25507272442752), (11.352646331804443, 37.06541977178905), (10.0, 27.15732470255117), (12.687021763445884, 17.525091625908548), (20.172654427140564, 10.894457898712687), (30.13257134784982, 10.0), (38.96026898387908, 14.698058582738547), (46.3535009920333, 21.431565876386035), (54.60783514941338, 27.076560793860136), (63.830847419503264, 30.941278722218104), (72.98049865712366, 34.97660798138784)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Successful test,"[0.043877551020408176, 0.020287380258225747, 0.0679650485766985, 0.04238961761212573, 0.058912802516017965, 0.05628654750359587, 0.03489258739994058, 0.030051622657114967, 0.003915477870533448, -0.03179880784375226, -0.02139934309757778, -0.009632250876068026, -0.006571026386272105, 0.004653463409646265, 0.05261264708311566, 0.0383692016920747, -0.0066329943298890585, -0.0015309535135625205, 0.026020066894600756]",random,PASS,"[(61.65440723534323, 104.71520556988861), (61.66237050245056, 114.71520239920696), (58.5164359829711, 124.20746746077933), (51.617873452228, 131.446931184663), (41.948169274369505, 133.99581743412688), (32.25603290268535, 131.53360449600046), (25.468820443336995, 124.18964459471651), (22.608106890951525, 114.60756141979061), (22.954005145136506, 104.61354549035805), (24.98411759503516, 94.82178142861889), (25.633815448715495, 84.8429091126243), (23.637565720066426, 75.04418536813245), (20.151039405983404, 65.67166520217886), (15.917451686199115, 56.6120440721927), (11.597197914231046, 47.59342958072032), (10.0, 37.72180566047417), (12.902637572608647, 28.15233884554239), (17.28093643918075, 19.161760497350684), (21.28869698457072, 10.0)]",0.0,0.024689943942732485,0.02493200221668084,0.0,1.3919376900986686,63.70834849673228,-0.1260629198357145,0.1278198515205241,0.16941147697515466,33.28155339805825,9.3005500963988,0.7293669707264684,0.7293669707264684,0.0,1.9945439054733298,0.0,183.88243283305184,0.1321262478728279,0.7718024670244926,0.7718024670244926,54.0,15.121095582260187,0.024689943942732485,0.02493200221668084,0.0,1.3919376900986686,63.70834849673228,-0.1260629198357145,0.1278198515205241,0.16941147697515466,33.28155339805825,9.3005500963988,0.0,0.0,0.0,0.3410741347553903,-67.05987851237566,-0.35718472098828724,0.0,0.0,0.0,0.0,,,
2,The road is self-intersecting,"[-0.04591836734693878, -0.05185755935027073, -0.060265365621467254, -0.05415203577712397, -0.052530131940869626, -0.05485370308876666, -0.05404580483806531, -0.020197852632824823, -0.0659264429646051, -0.06337874811811492, -0.035333927419254035, -0.057904846774179154, -0.05225852764976548, -0.024378192090658383, -0.06414560359738726, -0.05518148666869459, -0.04354346394640596, -0.035672575649406756, -0.05279032156110342]",random,INVALID,"[(12.972979937071244, 26.637290151248102), (12.980943204178573, 36.63728698056645), (17.68434272994132, 45.46214011821439), (26.360020487160554, 50.43532978410202), (36.34672030178632, 49.91974583113837), (44.683884762459485, 44.39781783851763), (49.023497846577015, 35.38850275466382), (48.068829037305534, 25.434176686837624), (43.56824464707017, 16.504185637213336), (35.75083797935457, 10.268148995919795), (25.754433820058722, 10.0), (16.824057932429724, 14.499820719279235), (10.869304586073355, 22.533556623829348), (10.0, 32.49570044615152), (12.918335512463898, 42.060391650612445), (19.652069123090314, 49.45341753052927), (29.37628360865338, 51.78572382232835), (39.04472844634559, 49.23206479643963), (46.97943135821751, 43.14597494331297)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The road is too sharp,"[-0.011224489795918363, 0.03265306122448981, 0.03256559766763849, -0.012081275658951625, 0.02567382638186471, -0.010851005958401678, 0.016700014449761602, -0.02309590391758534, -0.008693326968268286, -0.03420353104990094, -0.038482929773433004, 0.006526229192287403, 0.0381588822535119, -0.001819756389775275, -0.037534042104060986, 0.009100000430798644, -0.036818366916140134, -0.0683024156513498, -0.07]",random,INVALID,"[(52.897678213490906, 10.0), (52.905641480598234, 19.99999682931835), (51.84417960234276, 29.943502181105032), (47.653306835812856, 39.02296171649358), (42.55608852296663, 47.62635438864246), (36.886377304796056, 55.86373107679694), (30.622283516272475, 63.658673604396505), (24.132937359019877, 71.26711539305145), (17.890181491046093, 79.07915732668691), (12.962590147787807, 87.78081484430078), (10.0, 97.33189120334171), (10.626178698105619, 107.31226695969671), (12.83230338230264, 117.06588238566962), (12.822471470005844, 127.0658775523435), (11.005826782353601, 136.89948330399048), (11.146723837751992, 146.89849065571195), (12.702976302161268, 156.77665234030792), (15.60896073821673, 166.34510333602313), (22.92353005896406, 173.16397975754464)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The road is self-intersecting,"[-0.05, -0.06285714285714286, -0.06183673469387756, -0.013023740108288218, 0.03085381091211996, 0.046348970241991014, 0.05346609536044697, 0.06728433042287539, 0.07, 0.034285714285714294, 0.008775510204081637, 0.038367346938775526, 0.055006247396917965, 0.011638262968661028, 0.06163826296866103, 0.015211430542008315, 0.022354287684865456, 0.05804338216549372, 0.03333179760814935]",random,INVALID,"[(14.439057046730838, 10.0), (14.447020313838166, 19.99999682931835), (19.80187136554501, 28.44544354420763), (29.080167541928247, 32.175486447890144), (39.07985212515304, 32.2549108523035), (49.0327540074414, 33.22431485556579), (57.88831397117458, 37.86964129498053), (63.44040381089154, 46.1867500721766), (63.28903045368956, 56.18560431187474), (56.834933202023976, 63.823969887444086), (47.433712972890376, 67.23235047114207), (37.5213686029234, 68.55349735592975), (27.57458514634932, 67.5232066843112), (19.156008155227113, 62.12621109004325), (12.965813597504834, 54.27245457882229), (10.0, 44.72237867834613), (10.830417735462945, 34.756918007377195), (13.507041884043971, 25.121790443757035), (19.74003226211788, 17.301954707193378)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Car drove out of the lane beamng_executor/sim_2021-01-22--09-12-50,"[-0.039795918367346944, -0.06836318200749689, -0.0615694991032648, -0.07, -0.04142857142857143, -0.034723032069970856, -0.021270304039983354, -0.021642597897134706, -0.0037593006246009197, -0.05375930062460092, -0.01862966170887418, -0.007405171912955817, -0.02475211068846602, -0.02723564153359699, 4.65563929981927e-05, -0.04383099462740997, -0.01714803708840692, -0.05490313912922324, -0.02284923584728353]",random,FAIL,"[(54.448962597175445, 60.96591762666855), (54.45692586428277, 70.9659144559869), (59.61193251384315, 79.53480624215086), (68.90028007326933, 83.23974883486426), (78.51550102243294, 80.49247271136215), (85.22394682245385, 73.07649300884262), (88.69599691580734, 63.69860048710598), (89.44152823775309, 53.726430058959565), (88.0466700225175, 43.82418937518552), (85.40874727107541, 34.17839425205419), (80.14318492293117, 25.676991240915044), (72.20848531377308, 19.590897081897577), (63.55090216797198, 14.586273812005984), (54.2037744405417, 11.032233400431565), (44.257192404131736, 10.0), (34.26248550941576, 10.325321515914588), (24.57698392413007, 12.813505400081581), (16.085128683406104, 18.094451770817507), (10.0, 26.02989182833091)]",-4.477166268892906,0.0,0.0,0.027777777777777776,0.9056022971465999,-197.07067009340918,0.3984779545263377,0.14453055871668516,0.14866000325144757,13.027777777777779,3.797341640061994,0.0,0.0,1.0,1.9855342451178264,0.969957069287962,0.0,0.5355443187955606,0.5852413339361608,0.5852413339361608,23.0,6.605241837052772,0.0,0.0,0.027777777777777776,0.9056022971465999,-197.07067009340918,0.3984779545263377,0.14453055871668516,0.14866000325144757,13.027777777777779,3.797341640061994,0.0,0.0,0.0,-1.3941568612034039,-274.43824062734706,0.2558156269616616,0.0,0.0,0.0,0.0,,,
6,Successful test,"[-0.0030612244897959134, -0.020408163265306117, -0.053740108288213254, -0.007796836352200194, -0.029225407780771623, -0.01442371904945202, 0.042719138093405135, 0.030474240134221467, 0.007880084991092447, -0.03599746602931572, -0.07, -0.02102040816326531, 0.008779675135360265, 0.007759266972094961, 0.055718450645564355, 0.012277792416425133, 0.023502282212343503, 0.0010730587231025032, 0.04699142607004129]",random,PASS,"[(10.0, 10.0), (10.007963267107328, 19.99999682931835), (11.18664946731002, 29.930288811000043), (15.883064088830167, 38.758861158937826), (23.032681237728013, 45.750497206687015), (31.347004348594965, 51.30675774846362), (40.667127767777856, 54.93102311556884), (49.93587729061471, 58.68472559217931), (58.05595664204333, 64.5211895324862), (64.91475921966355, 71.79833369769484), (72.72559674467345, 78.04259643703381), (82.6215073617266, 79.48167706691338), (92.14272800301805, 76.4244957671136), (101.45912758772653, 72.79066875168708), (111.04384651884692, 69.93879866147918), (121.03987423181039, 70.22063187752457), (130.36975586434025, 73.8197024135077), (138.91028626675725, 79.02156173930564), (146.748842300896, 85.23099321889111)]",-2.2293765579442386,0.020930161256996718,0.021168003998553498,0.0,1.192851751535712,-19.25239624802268,0.038138047789140025,0.14066579876329366,0.16972657730549157,35.943820224719104,10.150335247435912,0.47303528904855635,0.47303528904855635,0.0,1.9833097206670842,0.0,80.54447145741334,0.19868176275509,0.5360126677857013,0.6255450265551439,50.0,14.12878541709577,0.020930161256996718,0.021168003998553498,0.0,1.192851751535712,-19.25239624802268,0.038138047789140025,0.14066579876329366,0.16972657730549157,35.943820224719104,10.150335247435912,0.0,0.0,0.0,-0.5828364734978688,-101.22687079277493,-0.15795452254712367,0.0,0.0,0.0,0.0,,,
7,Successful test,"[-0.013265306122448979, 0.004081632653061218, -0.01734693877551021, -0.03877551020408163, -0.053423573511037076, -0.004782276092444471, -0.046619010786322024, -0.047536431873363885, -0.05225382005061973, -0.025757596767751655, 0.014625831473855669, 0.03401358657589648, 0.036658329488612924, -0.017762758632906495, -0.007558677000253436, -0.0187831667961718, 0.014890302591583304, 0.0301964250405629, -0.016138122920276405]",random,PASS,"[(10.0, 29.937275622868942), (10.007963267107328, 39.93727245218729), (10.47494032084343, 49.9263631230784), (11.602946644793604, 59.862539537229296), (15.438596619219311, 69.09767837071134), (22.982001255056844, 75.66251245087093), (32.09190119676768, 79.786797001192), (41.95092586892247, 81.46000724316498), (51.49637986835691, 78.47935161986982), (58.45184024554945, 71.29453631665534), (62.152894721479186, 62.00463880558448), (65.33142005446234, 52.52323718411604), (70.69959766480002, 44.08625495444002), (78.6557372693367, 38.028215453650745), (87.43072062514864, 33.232418637143276), (95.84616490465515, 27.830539558663183), (103.47929992577821, 21.370257076503087), (110.98525197624775, 14.762633917147532), (119.77827865488555, 10.0)]",-2.0738649575653785,0.023791223320811454,0.024067865452448794,0.0,1.2206379431333345,-39.07322536031681,0.07713297971925778,0.1600527989878926,0.1825292553859507,36.41379310344828,10.280540626482205,0.4510241994321212,0.4510241994321212,0.0,1.9965680377713024,0.0,71.15793849779473,0.29624255010945866,0.8977185526320923,0.8977185526320923,56.0,15.650422136876585,0.023791223320811454,0.024067865452448794,0.0,1.2206379431333345,-39.07322536031681,0.07713297971925778,0.1600527989878926,0.1825292553859507,36.41379310344828,10.280540626482205,0.0,0.0,0.0,-0.38959400420902446,-152.96153467463355,-0.1401261175424258,0.0,0.0,0.0,0.0,,,
8,Successful test,"[-0.009183673469387754, -0.00816326530612245, 0.025510204081632654, 0.0005789254477301109, -0.03921699291961683, -0.03208144565614668, 0.010741529499457128, -0.012727858255644913, -0.03211561335768573, -5.1202468362113174e-05, -0.009234875937749867, 0.020356960796944018, 0.06593293717538547, 0.0357943071925908, -0.003894791647318277, 0.005288881822069477, -0.018180505933032564, -0.03348662838201216, -0.024094945672088086]",random,PASS,"[(10.402744701103444, 10.0), (10.410707968210772, 19.99999682931835), (11.28490087864995, 29.961712884062024), (11.292864145757278, 39.96170971338037), (10.0, 49.877782640735), (10.634982677445862, 59.85760212804757), (14.712890437026743, 68.98835611139144), (19.74000719984525, 77.6328975713527), (24.85272912848957, 86.22708598448163), (31.748332446469703, 93.469368420362), (39.71473202290329, 99.51390957652919), (47.953095823791074, 105.18218637677649), (55.863671422941906, 111.29960361692935), (60.49109631226452, 120.1645310782049), (60.21563243313085, 130.16073634076793), (58.35604583385148, 139.98631203279638), (56.428016272371764, 149.79868697518725), (55.13604001683987, 159.7148756258303), (56.420242673569845, 169.63207399716723)]",0.0,0.036948658238168584,0.03740481451271388,0.0,1.4210836590498828,-4.286499429287114,0.008500985316950649,0.17497892282375607,0.19503119888635764,40.15853658536585,11.307991210207469,0.6184070902838575,0.6184070902838575,0.0,1.9711407785014559,0.0,115.31644582210436,0.15897515016108954,0.6698708237661898,0.6698708237661898,59.0,16.702108486480828,0.036948658238168584,0.03740481451271388,0.0,1.4210836590498828,-4.286499429287114,0.008500985316950649,0.17497892282375607,0.19503119888635764,40.15853658536585,11.307991210207469,0.0,0.0,0.0,0.5235549196025007,-82.94051904841025,-0.22631799185349605,0.0,0.0,0.0,0.0,,,
9,Successful test,"[-0.007142857142857145, -0.05306122448979592, -0.0631695127030404, -0.014329318566243657, 0.007099252862327779, -0.012288502239713037, -0.015349726729508947, -0.04902319611726405, -0.038132863562853246, -0.06498772634058286, -0.03519631666445038, -0.05788518809492149, -0.04971761243915804, -0.028404301239501696, -0.002705200910654307, -0.026174588665756348, -0.052766761183506275, 0.015179510822300755, -0.062371509585862524]",random,PASS,"[(10.0, 16.28935069661159), (10.007963267107328, 26.289347525929937), (12.980516379280317, 35.83732783567663), (20.70679720866832, 42.18591701323658), (30.25918118734623, 45.14428824144605), (39.91224689676602, 47.755480001854295), (49.62980655388537, 50.11536014930383), (59.579804241093115, 51.114132407909736), (69.33478950769671, 48.91407276136673), (77.24939846195227, 42.80187470328503), (81.12139602149432, 33.581916194761234), (80.08995648013433, 23.63525180550394), (74.7042882914233, 15.209423765417554), (65.76180358015108, 10.73371519708305), (55.78875680348503, 10.0), (45.82244812848489, 10.820177660398627), (36.07788471273216, 13.065947870454245), (27.94616978592431, 18.8861894761894), (22.10420822671537, 27.00231448389628)]",0.0,0.012701910129076014,0.012831521456923728,0.0,0.9674343409062546,-93.36524348440844,0.18487669127259931,0.14620999779522248,0.1970597921192406,30.03030303030303,8.568224985140706,0.4232466778740278,0.4232466778740278,0.0,1.9997391491843155,0.0,0.0,0.3180843142060623,0.9919106585709766,0.9984669104877565,45.0,12.961132562974695,0.012701910129076014,0.012831521456923728,0.0,0.9674343409062546,-93.36524348440844,0.18487669127259931,0.14620999779522248,0.1970597921192406,30.03030303030303,8.568224985140706,0.0,0.0,0.0,0.133408466535603,-162.44218284068603,0.02796155007009888,0.0,0.0,0.0,0.0,,,
